,BC_ID,H_0,H_24,H_48,H_72,H_96,Mut_ID,Strain,Environment
241,2487,-2.958054391,-2.894676073,-2.811825546,-2.916652625,-2.90719851,985,DivAnc,SC_3.0
242,2503,-3.931768535,-4.393970307,-4.403280706,-4.516486095,-4.788329453,353,DivAnc,SC_3.0
243,2510,-5.731109084,-6.142158334,-6.159155561,-6.460968767,NA,884,DivAnc,SC_3.0
244,2515,NA,NA,NA,NA,-6.344631954,830,DivAnc,SC_3.0
245,2529,-5.430079089,-6.443188329,-6.159155561,NA,NA,781,DivAnc,SC_3.0
246,2541,-5.25398783,-5.598090289,-5.314057521,-5.615870727,-5.867510699,374,DivAnc,SC_3.0
247,2563,NA,NA,-6.159155561,NA,NA,336,DivAnc,SC_3.0
248,2567,-3.126883031,-2.976024363,-2.868898292,-2.886937499,-2.86333268,14,DivAnc,SC_3.0
249,2572,NA,NA,NA,-6.460968767,NA,132,DivAnc,SC_3.0
250,2635,-3.185801968,-3.294894232,-3.32346499,-3.302304786,-3.293865643,815,DivAnc,SC_3.0
251,2636,-5.731109084,-6.443188329,NA,NA,-6.344631954,534,DivAnc,SC_3.0
252,2642,NA,NA,NA,-6.460968767,NA,161,DivAnc,SC_3.0
253,2672,NA,NA,NA,-6.159938771,-6.344631954,715,DivAnc,SC_3.0
254,2673,-5.731109084,-6.142158334,NA,-6.460968767,NA,622,DivAnc,SC_3.0
255,2675,-3.56379175,-4.164434728,-3.643281718,-3.896302702,-3.960816588,756,DivAnc,SC_3.0
256,2689,-3.555017825,-3.550537295,-3.722992914,-4.22544032,-4.34031058,605,DivAnc,SC_3.0
257,2691,-3.452355483,-3.486060132,-3.806973043,-3.942454827,-4.148732301,202,DivAnc,SC_3.0
258,2706,-5.731109084,NA,NA,-4.460968767,NA,16,DivAnc,SC_3.0
259,2712,-5.731109084,NA,NA,NA,NA,313,DivAnc,SC_3.0
260,2729,NA,-6.443188329,NA,NA,NA,892,DivAnc,SC_3.0
261,2735,-5.731109084,-6.142158334,-5.682034307,-6.460968767,NA,733,DivAnc,SC_3.0
262,2758,-3.140044477,-3.027213918,-3.106461619,-2.994842896,-2.891925727,843,DivAnc,SC_3.0
263,2785,-3.197082978,-3.082784275,-3.09134105,-3.126515016,-3.14268889,780,DivAnc,SC_3.0
264,2797,NA,-6.443188329,NA,NA,NA,687,DivAnc,SC_3.0
265,2803,-5.731109084,-5.966067075,-5.858125566,NA,NA,494,DivAnc,SC_3.0
266,2826,-5.129049093,NA,-5.314057521,-5.682817516,-5.742571962,149,DivAnc,SC_3.0
267,2835,NA,NA,NA,-6.460968767,NA,536,DivAnc,SC_3.0
268,2847,-2.990746395,-2.947366576,-3.005645572,-3.044994355,-3.00023968,533,DivAnc,SC_3.0
269,2851,NA,-6.443188329,-6.159155561,-5.983847512,NA,245,DivAnc,SC_3.0
270,2858,-5.731109084,-6.443188329,-6.159155561,-6.159938771,NA,323,DivAnc,SC_3.0
271,2860,NA,NA,NA,-6.460968767,-6.344631954,815,DivAnc,SC_3.0
272,2874,NA,NA,-5.858125566,NA,NA,185,DivAnc,SC_3.0
273,2938,-5.731109084,NA,NA,NA,-6.344631954,883,DivAnc,SC_3.0
274,2940,-3.850295492,-4.451962254,-4.163520367,-4.501927374,-4.604269264,925,DivAnc,SC_3.0
275,2958,-5.731109084,NA,NA,-5.983847512,NA,819,DivAnc,SC_3.0
276,2964,-5.731109084,-6.443188329,-6.159155561,-6.460968767,NA,969,DivAnc,SC_3.0
277,2966,-3.557922816,-3.590708336,-3.994802706,-4.147101546,-4.436146935,677,DivAnc,SC_3.0
278,2967,-5.731109084,-6.443188329,-5.858125566,NA,-5.742571962,657,DivAnc,SC_3.0
279,2985,-5.731109084,NA,NA,NA,NA,835,DivAnc,SC_3.0
280,2996,-5.731109084,NA,NA,NA,NA,534,DivAnc,SC_3.0
281,3014,-5.731109084,NA,-6.159155561,-6.460968767,-6.344631954,717,DivAnc,SC_3.0
282,3018,-5.731109084,-6.443188329,NA,-6.159938771,NA,492,DivAnc,SC_3.0
283,3028,-3.044472815,-3.063520295,-3.274926792,-3.332246482,-3.359654827,233,DivAnc,SC_3.0
284,3029,-2.968430521,-2.983343687,-2.902437815,-2.886358825,-2.91006305,704,DivAnc,SC_3.0
285,3037,-5.731109084,NA,NA,NA,NA,717,DivAnc,SC_3.0
286,3042,-3.46159614,-3.365820424,-3.469846702,-3.587067169,-3.605851395,486,DivAnc,SC_3.0
